電影中文名稱,電影英文名稱,類型,國家,上映年份,導演,演員,Hami詳細頁Url,hami_rating,hami_duration,imdb_id,rt_tomatometer,rt_audience_score,douban_rating,imdb_rating,metacritic_rating,rt_tomatometer_omdb
人命大富翁,Human Capital,劇情,義大利,2013,保羅維爾奇,"薇拉莉葛琳諾, 華薇莉泰德奇, 費比奇歐班提佛格里歐",https://hamivideo.hinet.net/product/265463.do?cs=2,3.3,110分鐘,tt2465578,63%,87%,7.3,7.2,63/100,
魔籽公主(法語版),Dounia and the Princess of Aleppo,動畫,法國,2024,"瑪麗亞扎里夫, 安德烈卡迪",拉哈夫阿塔婭,https://hamivideo.hinet.net/product/257804.do?cs=2,5.0,73分鐘,,NoRating,NoRating,8.4,NoRating,NoRating,
哥哥戀愛了我怎麼辦？,A BROTHER’S LOVE,喜劇,美加,2020,莫妮雅修克黎,"安妮伊莉莎白伯斯, 帕特里克希文",https://hamivideo.hinet.net/product/114127.do?cs=2,3.1,117分鐘,tt10155342,75%,54%,6.3,6.6,67/100,
豹子頭林沖之山神廟,The Panther-Head Hero 2,劇情,其他,2020,劉信義,"文東俊, 鮑丹, 薛祺",https://hamivideo.hinet.net/product/144991.do?cs=2,1.0,88分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
長安霧怪,Chang’An Fog Monster,驚悚,其他,2020,呂磊,"羅立群, 程啟蒙, 李柏蓉",https://hamivideo.hinet.net/product/180458.do?cs=2,2.7,62分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
黑暗的秘密,Silent Retreat,驚悚,美加,2016,艾斯喬丹,"唐尼博亞茲, 麗貝卡桑莫茲, 戴文奧頓, 伊萊比爾德納",https://hamivideo.hinet.net/product/283175.do?cs=2,1.0,91分鐘,,NoRating,8%,NoRating,NoRating,NoRating,
殺手歡樂送,Lucky Day,動作,美加,2021,羅傑艾佛瑞,"路克布萊西, 妮娜杜波夫, 克里斯賓葛洛佛, 克萊班奈特, 何超儀",https://hamivideo.hinet.net/product/160820.do?cs=2,4.2,99分鐘,tt7248248,90%,53%,5.8,5.1,18/100,
誰是外星人,There is an Alien Here,喜劇,韓國,2021,崔銀鍾,"趙炳圭, 裵盧麗, 太亢鎬, 李賢雄",https://hamivideo.hinet.net/product/157666.do?cs=2,3.1,78分鐘,,NoRating,NoRating,7.9,NoRating,NoRating,
反撥,Repulsion,經典電影,英國,1965,羅曼波蘭斯基(RomanPolanski)【失嬰記】,"凱瑟琳丹妮芙(CatherineDeneuve)【秋水伊人】, 伊恩亨德利(IanHendry)【找到卡特】, 約翰福瑞澤(JohnFraser)【萬世英雄】",https://hamivideo.hinet.net/product/62163.do?cs=2,3.8,104分鐘,tt0059646,96%,86%,7.7,7.5,91/100,
汪汪保衛戰,Pups Alone,家庭,美加,2021,艾力克斯梅金,"傑瑞奧康奈爾, 珍妮佛樂芙休伊, 勞勃許奈德, 丹尼特瑞歐, 麥爾坎麥道威爾, 凱斯大衛, 杜夫朗格林",https://hamivideo.hinet.net/product/181209.do?cs=2,3.0,106分鐘,tt6344584,NoRating,40%,NoRating,3.4,NoRating,
網癮小爸,bukaan 8,喜劇,其他,2022,安格德威莫斯薩松科,"奇戈傑里科, 菈菈卡梅拉",https://hamivideo.hinet.net/product/60933.do?cs=2,4.7,104分鐘,tt6503596,69%,47%,NoRating,6.9,NoRating,
該死的恐怖情人,Leni,驚悚,其他,2020,費德里科賈諾蒂,"艾琳扎尼諾維奇, 娜塔莉亞聖地亞哥",https://hamivideo.hinet.net/product/240411.do?cs=2,2.7,74分鐘,tt13049274,96%,87%,NoRating,6.1,NoRating,
戰狼堡壘3-戰俘,WOLF 2039,動作,歐洲,2022,"肯艾姆雷, 艾哈邁德阿塔萊","繆拉阿金, 圖克斯阿奇科茲, 塞內特克斯維",https://hamivideo.hinet.net/product/208671.do?cs=2,3.5,55分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
他們在島嶼寫作Ⅰ 尋找背海的人,The Man behind the Book,紀錄片,台灣,2011,林靖傑,王文興,https://hamivideo.hinet.net/product/161182.do?cs=2,4.5,104分鐘,,NoRating,NoRating,8.6,NoRating,NoRating,
國境之島的生與死,Bachiranun,劇情,日本,2021,東盛愛華,"東盛愛華, 石田健太, 笹木奈美, 三井康大, 山本櫻",https://hamivideo.hinet.net/product/324758.do?cs=2,3.6,60分鐘,tt15655176,NoRating,NoRating,NoRating,5.1,NoRating,
反目對決,The Case,劇情,法國,2020,貝爾納史托拉,"尼爾斯艾列斯鐸, 派屈克布瑞爾, 伊蓮雅各, 米歇布凱, 羅倫特史托克",https://hamivideo.hinet.net/product/181205.do?cs=2,2.8,103分鐘,tt10019108,91%,89%,NoRating,5.8,NoRating,
無名小卒,His Name Is Nobody,動作,香港,1979,麥嘉,"劉家榮, 梁家仁, 鐘發, 麥嘉, 石天",https://hamivideo.hinet.net/product/79084.do?cs=2,3.0,96分鐘,tt0081774,NoRating,NoRating,7.3,5.9,NoRating,
日曜日式散步者,Le Moulin,紀錄片,台灣,2016,黃亞歷,,https://hamivideo.hinet.net/product/273843.do?cs=2,5.0,162分鐘,tt5151568,73%,90%,7.7,6.9,NoRating,
香草,Herb,劇情,韓國,2007,許仁茂,"姜惠貞, 鄭敬淏, 裴宗玉",https://hamivideo.hinet.net/product/223803.do?cs=2,4.4,108分鐘,tt0969274,NoRating,86%,7.7,6.4,NoRating,
三妻艷史,A Letter to Three Wives,劇情,美加,1949,約瑟夫孟威茲,"珍妮克雷恩, 琳達達內爾, 安索瑟恩",https://hamivideo.hinet.net/product/218825.do?cs=2,3.7,102分鐘,tt0041587,100%,86%,7.9,7.6,NoRating,
棉花糖女孩的逆襲,The Sweeties,喜劇,義大利,2019,弗朗切斯科吉亞喬,"瓦蕾莉亞索拉里諾, 瑪格麗塔蘿莎德法蘭西斯可, 莉西亞納瓦里尼, 維尼喬馬基奧尼",https://hamivideo.hinet.net/product/281013.do?cs=2,5.0,85分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
我的青春煉獄,King Of Devil&#39;s Island,劇情,歐洲,2010,馬利斯霍士特,"班傑明赫斯達, 特朗尼爾森",https://hamivideo.hinet.net/product/289821.do?cs=2,4.3,111分鐘,tt1332134,60%,97%,7.3,7.4,NoRating,
黑少女A,Black Maiden A,驚悚,日本,2019,佐藤佐吉,"淺川梨奈, 北香那",https://hamivideo.hinet.net/product/111363.do?cs=2,3.2,80分鐘,tt10408904,NoRating,NoRating,NoRating,4.8,NoRating,
貧民窟紳士錄,Record of a Tenement Gentleman,經典電影,日本,1947,小津安二郎【風中的母雞】,"小澤榮太郎【雨月物語】, 飯田蝶子【戶田家兄妹】, 吉川滿子【我出生了, 但……】",https://hamivideo.hinet.net/product/71174.do?cs=2,4.5,70分鐘,,100%,94%,7.9,NoRating,NoRating,
二龍湖瘋狂代駕,Erlong Lake Crazy Driver,喜劇,其他,2018,馬馳,"張浩, 李安娜, 吳海龍",https://hamivideo.hinet.net/product/173942.do?cs=2,1.5,90分鐘,,NoRating,50%,4.3,NoRating,NoRating,
非法跟監,Passed By Censor,驚悚,歐洲,2019,薩爾哈特卡拉斯蘭,"伯爾卡依阿特什, 薩黛阿克索伊, 富桑德米雷爾",https://hamivideo.hinet.net/product/264353.do?cs=2,3.5,95分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
地獄小丑,The Legend of WASCO,驚悚,美加,2015,"薛恩畢斯利, 蕾雅泰勒","傑森克洛, 丹奈伊, 潔西卡許洛德",https://hamivideo.hinet.net/product/147928.do?cs=2,3.2,81分鐘,,NoRating,40%,3.3,NoRating,NoRating,
血畫夜語,Painted in Blood,驚悚,美加,2022,亞倫米爾特斯,"布拉德貝倫吉安, 戴昂德雷提格爾, 艾利森施倫, 扎克拉扎爾霍夫曼, 迪倫A.楊, 黛博拉賽德爾",https://hamivideo.hinet.net/product/291031.do?cs=2,4.5,83分鐘,tt14465170,NoRating,NoRating,NoRating,4.6,NoRating,
菲利斯之永夜島歷險記(英語),Felix and the Treasure of Morgaa(English),動畫,美加,2018,尼古拉勒邁,"卡琳瓦納斯, 丹尼爾布羅許, 弗拉斯塔弗拉納",https://hamivideo.hinet.net/product/148186.do?cs=2,3.5,81分鐘,,NoRating,43%,NoRating,NoRating,NoRating,
愛上費加洛,Falling For Figaro,劇情,英國,2021,班李文,"丹妮爾麥唐諾, 休斯基納, 喬安娜拉姆利",https://hamivideo.hinet.net/product/176370.do?cs=2,4.8,104分鐘,tt7392014,73%,69%,6.6,6.5,51/100,
龍虎新風雲,The Most Wanted,劇情,香港,1994,黃錦鈿,"金興賢, 仇雲波",https://hamivideo.hinet.net/product/72371.do?cs=2,3.6,91分鐘,tt0110380,NoRating,NoRating,6.5,6.5,NoRating,
所羅門王傳奇,Legend of King Solomon,動畫,其他,2022,艾伯特罕南卡明斯基,"歐利普費弗, 漢娜拉斯蘿, 伊登哈瑞爾",https://hamivideo.hinet.net/product/178141.do?cs=2,4.5,79分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
格羅夫區域,TKG: THE KIDS OF GROVE,驚悚,其他,2020,達米恩吉利耶塔,"瑪麗亞維萊特里, 馬克卡薩門托, 米克普雷斯頓",https://hamivideo.hinet.net/product/172408.do?cs=2,1.5,115分鐘,tt9414574,NoRating,NoRating,NoRating,3.0,NoRating,
笑畫人生,"Don’t Worry, He Won’t Get Far on Foot",劇情,美加,2018,葛斯范桑,"瓦昆菲尼克斯, 魯妮瑪拉, 喬納希爾, 傑克布萊克",https://hamivideo.hinet.net/product/74448.do?cs=2,4.2,114分鐘,tt6288124,76%,76%,6.2,6.8,67/100,
驚懼旅舍,The Innkeepers,驚悚,美加,2011,泰威斯特,"莎拉派絲頓, 派特希利, 凱莉麥吉莉絲",https://hamivideo.hinet.net/product/142658.do?cs=2,3.7,101分鐘,tt1594562,81%,42%,4.4,5.5,64/100,
陪我玩,Play with Me,驚悚,其他,2021,亞卓安賈西亞波里安諾,"莉斯迪帕, 艾蜜莉歐貝特蘭尤瑞奇, 瓦萊里沙斯, 亞歷山大羅德里格斯, 奧克塔維奧伊諾霍薩, 蘿西歐加西亞",https://hamivideo.hinet.net/product/171354.do?cs=2,3.0,80分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
再見的那一天,Fritzi – A Revolutionary Tale,動畫,德國,2019,"拉爾夫庫庫拉, ꀀ馬提亞斯布倫","艾莉莱昂斯, 奧辛康羅伊, 露西卡羅蘭, 尼古拉林賽",https://hamivideo.hinet.net/product/187578.do?cs=2,5.0,86分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
龍血咒,To Kill A Dragon,驚悚,其他,2022,希梅娜蒙特歐里瓦,"尼可拉斯艾福路齊, 帕布洛巴倫涅切, 艾德里安巴里奧斯, 艾亞布拉斯科, 賈絲汀娜布斯托斯",https://hamivideo.hinet.net/product/209912.do?cs=2,3.6,83分鐘,tt9103710,NoRating,NoRating,NoRating,4.4,NoRating,
異次元殺人事件,BULLET BALLET,劇情,日本,1998,塚本晉也,"村瀨孝弘, 塚本晉也, 真野桐奈, 中村達也",https://hamivideo.hinet.net/product/246335.do?cs=2,4.5,87分鐘,tt0163563,24%,56%,7.5,7.0,NoRating,
謎殺方程式,The Death Formula,驚悚,美加,2020,鮑伯庫克,"費莉莎蘿絲, 戴夫謝里登, 達比辛頓",https://hamivideo.hinet.net/product/306574.do?cs=2,2.2,78分鐘,,71%,NoRating,6.6,NoRating,NoRating,
浪蕩午后,Big Sur,劇情,美加,2013,麥可波利許,"尚馬克巴爾, 喬許盧卡斯, 凱特柏絲沃, 安東尼愛德華, 朗妲米契",https://hamivideo.hinet.net/product/244155.do?cs=2,3.0,81分鐘,tt27621271,44%,37%,NoRating,8.2,NoRating,
勇闖鳥世界,Tito and the Birds,動畫,其他,2018,"古斯塔沃斯坦伯格, 安德烈卡托托, 加布里埃爾比塔爾",佩德羅恩里克,https://hamivideo.hinet.net/product/269561.do?cs=2,2.5,73分鐘,tt8327492,84%,80%,6.5,6.7,76/100,
屍魂劇本,Playhouse,驚悚,英國,2020,"芬恩沃茨, 托比沃茨","詹姆斯羅特格, 格蕾絲考特尼, 艾莉德麥克勞克林, 麗貝卡卡琳達, 威廉霍斯特德",https://hamivideo.hinet.net/product/317965.do?cs=2,1.0,86分鐘,tt9449666,NoRating,NoRating,NoRating,3.5,NoRating,
異度迴圈,The Fare,驚悚,美加,2018,D·C·漢密爾頓,"基諾安東尼佩西, 布里納凱利, 傑森史都華",https://hamivideo.hinet.net/product/139462.do?cs=2,3.3,82分鐘,tt7293920,100%,79%,NoRating,6.3,NoRating,
阿寶動物一族,Gaspard at the Wedding,喜劇,法國,2018,安東尼寇迪耶,"菲利斯莫阿提, 拉艾蒂茨亞多許, 克莉絲塔特瑞特",https://hamivideo.hinet.net/product/187203.do?cs=2,4.6,103分鐘,tt5729818,NoRating,50%,6.6,6.1,NoRating,
反轉日記,The Reverse Diaries,劇情,日本,2018,園田新,"赤染萌, 新井鬱, 小野麻理江",https://hamivideo.hinet.net/product/208794.do?cs=2,3.0,99分鐘,tt5792448,NoRating,NoRating,NoRating,5.9,NoRating,
放牧人,Teuri,驚悚,韓國,2021,李南,"徐賢宇, 韓思明, 徐進元, 俞智妍",https://hamivideo.hinet.net/product/170299.do?cs=2,2.8,85分鐘,,NoRating,NoRating,7.9,NoRating,NoRating,
坑爹大作戰,Accidentally Dad,家庭,越南,2020,董橋,"胡鐘, 詹銀, 洪文",https://hamivideo.hinet.net/product/139518.do?cs=2,3.6,109分鐘,tt11924840,NoRating,NoRating,NoRating,5.8,NoRating,
海角驚魂之恐怖角(經典數位修復),Cape Fear,經典電影,美加,1962,傑李湯普森,"葛雷哥萊畢克, 羅伯特米切姆, 波莉卑爾根",https://hamivideo.hinet.net/product/136514.do?cs=2,4.3,105分鐘,tt0101540,77%,77%,7.4,7.3,73/100,
豹子頭林沖之白虎堂,The Panther-Head Hero 3,劇情,其他,2019,劉信義,"文東俊, 鮑丹, 薛祺",https://hamivideo.hinet.net/product/148765.do?cs=2,3.6,89分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
凸槌大歷險：寶寶轉運站(英語),Big Trip 2：Special Delivery(English),動畫,歐洲,2022,"瓦希里羅文斯基, 娜塔莉亞尼洛娃","丹尼爾梅德韋傑夫, 伯納德傑克森, 斯蒂芬奧克斯納, 麗莎克里莫娃, 凱特蘭, 喬納森薩爾維",https://hamivideo.hinet.net/product/241261.do?cs=2,4.0,90分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
亂世戀人,The Blitz Raid,劇情,歐洲,2012,阿德帝容,"揚斯密特, 露絲范爾克, 麥克衛爾斯",https://hamivideo.hinet.net/product/298674.do?cs=2,0.0,100分鐘,tt2363219,NoRating,NoRating,6.2,4.1,NoRating,
藥命分身,Dead Ringer,動作,英國,2018,理查德科爾頓,"路克懷特, 阿瑪亞達西亞, 班特利卡盧, 白靈",https://hamivideo.hinet.net/product/217153.do?cs=2,2.0,100分鐘,tt6864090,100%,80%,NoRating,3.6,NoRating,
夜半歌聲,The Phantom Lover,劇情,香港,1995,于仁泰,"張國榮, 吳倩蓮, 黃磊, 劉琳, 鮑方, 司徒慧焯",https://hamivideo.hinet.net/product/284474.do?cs=2,5.0,99分鐘,tt0115016,NoRating,60%,7.9,6.6,NoRating,
魅惑人魚姬,The Lure,驚悚,歐洲,2015,AgnieszkaSmoczy?ska,"蜜卡莉娜奧珊斯卡MichalinaOlszanska, MartaMazurek, 捷克葛列賽JakubGierszal, KingaPreis, AndrzejKonopka",https://hamivideo.hinet.net/product/39726.do?cs=2,2.5,92分鐘,tt5156940,89%,71%,NoRating,7.5,49/100,
將軍號,The General,經典電影,美加,1926,"艾瑞克伯格克勞特, 露絲施威克特","伊莉莎白尼德雷爾, 埃瑞克貝爾克勞特, 艾莉亞貝爾克勞特",https://hamivideo.hinet.net/product/48046.do?cs=2,4.2,78分鐘,tt0017925,22%,46%,9.1,8.1,NoRating,
要命男友,A Boyfriend To Die For,驚悚,美加,2025,瑪拉索科洛芙,"布莉特妮安德伍, 艾力克斯特倫布勒, 朱利安弗萊徹",https://hamivideo.hinet.net/product/323259.do?cs=2,2.6,82分鐘,tt35513807,NoRating,NoRating,NoRating,6.2,NoRating,
家有亂象,Parents,劇情,歐洲,2019,"艾瑞克伯格克勞特, 露絲施威克特","伊莉莎白尼德雷爾, 埃瑞克貝爾克勞特, 艾莉亞貝爾克勞特",https://hamivideo.hinet.net/product/280377.do?cs=2,4.0,94分鐘,tt10745896,NoRating,NoRating,NoRating,6.2,NoRating,
極限啟航,The Last Hail M.A.R.Y.,科幻,美加,2026,馬克戈特利布,"茱麗葉瑟西爾, 碧祖多曼, 碧安卡福施特",https://hamivideo.hinet.net/product/324748.do?cs=2,1.0,90分鐘,tt40483583,NoRating,NoRating,NoRating,1.7,NoRating,
我要結婚,IWanttoGetMarried,愛情,香港,2019,葉偉英,"李璨琛, 楊恭如, 袁潔瑩, 王合喜, 雷宇揚, 八?金, MariaCordero",https://hamivideo.hinet.net/product/72366.do?cs=2,4.0,95分鐘,tt0441397,NoRating,NoRating,5.2,5.0,NoRating,
竹島衝浪日記,Jukdo Surfing Diary,劇情,韓國,2021,李鉉昇,"全慧彬, 鄭泰祐, 朴浩山, 吳光祿",https://hamivideo.hinet.net/product/144939.do?cs=2,3.8,104分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
屏息之下,Breathing Under Water,劇情,歐洲,2024,艾瑞克拉姆亨,"卡菈尤利, 維羅珊達貝亞姆普圖",https://hamivideo.hinet.net/product/319116.do?cs=2,3.3,97分鐘,tt0106481,NoRating,NoRating,NoRating,7.0,NoRating,
血肉直播,Framed,驚悚,西班牙,2017,馬爾克馬丁尼茲喬丹,"艾力克斯馬蘭尼, 安瑞克奧奎爾, 比爾蒙托羅, 喬曼容, 丹尼爾霍瓦斯",https://hamivideo.hinet.net/product/145773.do?cs=2,3.2,78分鐘,tt10704342,NoRating,NoRating,NoRating,5.0,NoRating,
屍控療法,Rabid,科幻,美加,2019,"珍索斯卡, 希薇亞索斯卡","蘿拉范德沃特, 葛瑞格布萊克, 漢內琪塔博",https://hamivideo.hinet.net/product/318436.do?cs=2,4.3,107分鐘,tt5628902,55%,30%,5.4,5.2,43/100,
教練,At Your Service,紀錄片,台灣,2022,李家驊,"林生祥, 陳佑萱",https://hamivideo.hinet.net/product/202601.do?cs=2,4.0,87分鐘,tt16673762,79%,64%,NoRating,NoRating,NoRating,
盲點,Blindspotting,劇情,美加,2018,卡洛斯羅培茲埃斯特拉達,"戴維德迪格斯, 拉斐爾卡索",https://hamivideo.hinet.net/product/74992.do?cs=2,4.0,95分鐘,tt7242142,94%,87%,7.3,7.4,75/100,
毒娘,Toxic Daughter,驚悚,日本,2024,内藤瑛亮,"佐津川愛美, 植原星空, 伊禮姬奈, 竹財輝之助, 凜美",https://hamivideo.hinet.net/product/278833.do?cs=2,2.7,105分鐘,tt32622938,NoRating,NoRating,4.4,5.3,NoRating,
跟監專家,Stakeout,劇情,美加,2019,亞當西格爾,"傑瑞米桑普特, 湯姆貝林傑, 葛拉罕麥克塔維什",https://hamivideo.hinet.net/product/150438.do?cs=2,2.6,90分鐘,tt15737510,NoRating,75%,NoRating,6.5,NoRating,
杭愛山上：幸福使者,Bliss Bringer,劇情,其他,2022,額爾德尼奧羅蘇,"達什佩爾吉阿迪爾比什, 札米蘭博洛爾額爾德尼, 阿利姆採塞格博洛爾馬",https://hamivideo.hinet.net/product/272457.do?cs=2,3.2,114分鐘,tt19371890,27%,45%,NoRating,NoRating,NoRating,
懸崖上的房子,Barun Rai and the House on the Cliff,驚悚,英國,2021,山姆巴塔查爾吉,"普里揚蘇查特吉, 奈拉班納吉, 席德馬卡, 東尼理查森",https://hamivideo.hinet.net/product/317255.do?cs=2,0.0,118分鐘,tt9449952,NoRating,67%,NoRating,3.9,NoRating,
屍體派對2：暗影之書,Corpse Party Part 2 Book of Shadow,驚悚,日本,2016,山田雅史,"生駒里奈, 池岡亮介, 前田希美",https://hamivideo.hinet.net/product/144344.do?cs=2,3.6,87分鐘,tt5641606,NoRating,NoRating,NoRating,4.4,NoRating,
終結戰,Death Fighter,動作,美加,2017,托比羅素,"麥特馬林斯, 唐威森, 仙迪亞羅芙洛, 喬劉易斯",https://hamivideo.hinet.net/product/131715.do?cs=2,3.6,88分鐘,tt9387250,NoRating,NoRating,5,4.8,46/100,
俱樂部謀殺案,Murder At The Country Club,驚悚,美加,2021,戴夫湯瑪斯,"艾力克斯米謝爾, 亞當哈波",https://hamivideo.hinet.net/product/285790.do?cs=2,2.5,86分鐘,tt27142014,NoRating,NoRating,NoRating,4.5,NoRating,
花樣姐妹圖鑑,Wonderfully Beautiful,喜劇,德國,2022,卡洛琳荷芙絲,"艾米麗亞舒勒, 馬蒂娜格德克, 諾拉提辛納",https://hamivideo.hinet.net/product/262607.do?cs=2,5.0,125分鐘,tt12194006,NoRating,NoRating,7.4,7.0,NoRating,
地下拳,Unleashed,劇情,香港,2020,"郭家禧, 郭逸材","孫振峰, 李璨琛, 盧惠光",https://hamivideo.hinet.net/product/278427.do?cs=2,5.0,84分鐘,tt10147568,22%,42%,NoRating,5.9,NoRating,
狂熱份子,The Believer,劇情,美加,2001,亨利賓,"雷恩葛斯林, 桑瑪菲尼克斯, 彼得梅多斯, 葛瑞特迪拉杭特",https://hamivideo.hinet.net/product/295343.do?cs=2,3.4,98分鐘,tt0247199,82%,82%,8,7.1,75/100,
我還小，但我能改變世界,Forward,紀錄片,法國,2020,艾力克斯伊格尼斯,,https://hamivideo.hinet.net/product/126158.do?cs=2,4.6,84分鐘,tt9420080,NoRating,NoRating,NoRating,6.2,NoRating,
恐怖劇場,The Theatre of Terror,驚悚,美加,2015,湯姆萊恩,"湯姆萊恩, 勞倫蕾娜漢, 希瑟布里頓, 亞當金斯伯格, 艾倫羅維凱莉",https://hamivideo.hinet.net/product/315089.do?cs=2,4.0,91分鐘,,NoRating,NoRating,8,NoRating,NoRating,
謝莉帕皮尼的綁架騙局,Hoax: The Kidnapping Of Sherri Papini,驚悚,美加,2023,瑪爾塔波羅斯基,"潔米金, 麥特漢密爾頓",https://hamivideo.hinet.net/product/298011.do?cs=2,3.0,83分鐘,tt23697628,NoRating,26%,NoRating,5.1,NoRating,
共犯的夏夜,Don’t Come Here,驚悚,西班牙,2025,道格拉斯湯姆森,"瓊伊約拉, 阿拉祖, 里斯豪威爾, 尼古拉斯索爾門",https://hamivideo.hinet.net/product/321464.do?cs=2,1.5,90分鐘,tt13774242,NoRating,78%,NoRating,4.1,NoRating,
三個壞人,Three Bad Men,劇情,美加,1926,約翰福特,喬治奧布萊恩,https://hamivideo.hinet.net/product/219234.do?cs=2,2.6,91分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
死亡限動,Death Link,驚悚,美加,2021,大衛利珀,"伊莉絲盧曼, 潔西卡貝爾金",https://hamivideo.hinet.net/product/203083.do?cs=2,1.6,88分鐘,tt12503602,NoRating,42%,NoRating,3.1,NoRating,
惡魔灣,Devil’s Cove,劇情,美加,2018,艾瑞克朗德馬克,"克蘿伊崔柯斯, 克莉絲塔巴古蒂",https://hamivideo.hinet.net/product/108222.do?cs=2,2.2,81分鐘,tt6231824,NoRating,NoRating,NoRating,4.9,NoRating,
神諭預言令,Alien Prophecy a.k.a.The Oracle,科幻,美加,2020,勞倫斯法蘭森,"莎拉阿特里爾, 梅琳達克萊默, 布倫特蓋爾蘭, 艾洛蒂哈拉, 潔米高爾",https://hamivideo.hinet.net/product/325547.do?cs=2,1.0,88分鐘,tt7974036,NoRating,NoRating,NoRating,3.9,NoRating,
唐伯虎點秋香(粵語),Flirting Scholar(Cantonese),喜劇,香港,1993,李力持,"周星馳, 鞏俐, 陳百祥, 鄭佩佩, 梁家仁, 劉家輝, 宣萱",https://hamivideo.hinet.net/product/323258.do?cs=2,4.4,102分鐘,tt0108289,NoRating,88%,8.8,7.6,NoRating,
荒墨生存法則,Robe of Gems,劇情,美加,2022,娜塔莉亞洛佩茲加拉多,"弗朗西斯科貝迪亞萊斯, 雷納卡莫納, 亞雷齊卡薩雷斯",https://hamivideo.hinet.net/product/219863.do?cs=2,4.0,115分鐘,tt17280362,86%,NoRating,5,5.5,69/100,
死神二十來敲門,You Will Die at 20,劇情,法國,2019,阿穆賈德阿布阿拉拉,"穆斯塔法希哈塔, 伊斯蘭姆穆巴拉克, 馬哈茂德艾薩拉, 邦娜哈立德",https://hamivideo.hinet.net/product/244624.do?cs=2,3.7,98分鐘,tt9686154,89%,84%,7.2,7.0,77/100,
女大不中留,Hobson’s Choice,經典電影,英國,1954,大衛連,"查爾斯勞頓, 布蘭達德班席",https://hamivideo.hinet.net/product/190638.do?cs=2,4.8,107分鐘,tt0047094,91%,91%,7.7,7.7,NoRating,
怪物大聯盟：惡夢對決,Monster Mash,驚悚,美加,2024,荷西普倫德斯,"麥可麥德森, 碧克絲克里格, 伊森科比特",https://hamivideo.hinet.net/product/290622.do?cs=2,2.0,85分鐘,tt30469723,NoRating,53%,NoRating,3.5,NoRating,
農場我的家,Gunda,紀錄片,歐洲,2021,維克多柯薩科夫斯基,甘妲,https://hamivideo.hinet.net/product/157699.do?cs=2,3.7,92分鐘,tt11464016,98%,71%,7.2,7.1,89/100,
傑克醫生,Dr. Jack,經典電影,美加,1922,弗雷德C紐梅耶(FredC.Newmeyer)【大學新生】,"哈羅德勞埃德(HaroldLloyd)【安全至下!】, 米爾德里德戴維斯(MildredDavis)【東部人西遊記】, 約翰T普斯(JohnT.Prince)【萬王之王】",https://hamivideo.hinet.net/product/41171.do?cs=2,1.0,58分鐘,tt0013075,NoRating,72%,NoRating,7.1,NoRating,
泥醉天使(黑澤明經典數位修復),Drunken Angel,經典電影,日本,1948,黑澤明,"久我美子, 志村喬",https://hamivideo.hinet.net/product/98483.do?cs=2,4.2,98分鐘,,94%,88%,NoRating,NoRating,NoRating,
窒愛家鎖,Unclenching the Fists,劇情,歐洲,2021,基拉科瓦連科,"米拉娜安吉薩蘿娃, 亞力克卡拉夫, 索斯蘭楚加耶夫, 赫塔格比比洛夫, 亞森赫塔古羅夫, 米拉娜帕奇瓦",https://hamivideo.hinet.net/product/192226.do?cs=2,3.3,96分鐘,tt14775666,88%,67%,6.7,6.6,68/100,
意外寓到妳,When Brooklyn Met Seville,愛情,西班牙,2021,文生維拉紐瓦,"卡洛琳娜尤斯特, 瑟吉歐摩摩, 曼諾羅索洛, 艾斯桑托斯",https://hamivideo.hinet.net/product/174598.do?cs=2,4.6,97分鐘,tt12300276,NoRating,NoRating,NoRating,5.6,NoRating,
我的意外女兒,Out Of The Blue,喜劇,義大利,2013,艾多阿爾多里奧,"雷歐波瓦, 馬可賈利尼, 艾多阿爾多里奧",https://hamivideo.hinet.net/product/316724.do?cs=2,3.5,105分鐘,tt2751576,16%,31%,NoRating,6.1,NoRating,
雙夫計,My Two Husbands,驚悚,美加,2024,傑夫海爾,"伊莎貝爾艾摩揚, 凱碧波德斯, 喬恩布里德爾, 布里頓韋博",https://hamivideo.hinet.net/product/317682.do?cs=2,5.0,85分鐘,tt28798990,NoRating,NoRating,NoRating,5.0,NoRating,
布魯斯威利之終極黑幫,Alpha Dog,劇情,美加,2006,尼克凱薩維茲,"賈斯汀, 亞曼達塞佛瑞, 布魯斯威利, 艾米爾賀許, 莎朗史東, 奧莉薇亞魏爾德",https://hamivideo.hinet.net/product/326055.do?cs=2,4.6,117分鐘,tt0426883,54%,67%,6.8,6.9,53/100,
